ISSN,Journal_Name,Publisher,JIF,Quartile
1524-8399,Health Promotion Practice,SAGE PUBLICATIONS IN,1.2,Q4
1524-8429,Interdisciplinary Literary Studies,PENN STATE UNIV PRES,0.1,
1524-8879,Human Rights Review,SPRINGER,1.3,Q1
1524-9042,Pain Management Nursing,ELSEVIER SCIENCE INC,2.1,Q2
1524-9050,IEEE TRANSACTIONS ON INTELLIGENT TRANSP,IEEE-INST ELECTRICAL E,8.4,Q1
1524-9220,Psychology of Men & Masculinities,EDUCATIONAL PUBLISH,2.8,Q2
1524-9557,JOURNAL OF IMMUNOTHERAPY,LIPPINCOTT WILLIAMS,2.9,Q2
1525-0008,INFANCY,WILEY,2.6,Q2
1525-0016,MOLECULAR THERAPY,CELL PRESS,12,Q1
1525-1578,JOURNAL OF MOLECULAR DIAGNOSTICS,ELSEVIER SCIENCE INC,3.4,Q1
1525-2647,Comparative Parasitology,HELMINTHOLOGICAL S,0.4,Q4
1525-383X,Multinational Business Review,EMERALD GROUP PUBL,2.7,Q3
1525-3961,JARO-JOURNAL OF THE ASSOCIATION FOR RES,SPRINGER,2.3,Q1
1525-4135,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICI,LIPPINCOTT WILLIAMS,2.2,Q3
1525-5050,EPILEPSY & BEHAVIOR,ACADEMIC PRESS INC E,2.3,Q2
1525-6480,International Journal of Hospitality & Tourism,ROUTLEDGE JOURNALS,2.7,Q2
1525-6995,Leviathan-A Journal of Melville Studies,JOHNS HOPKINS UNIV,0.3,
1525-7304,Clinical Lung Cancer,"CIG MEDIA GROUP, LP",3.3,Q2
1525-7401,Communication Disorders Quarterly,SAGE PUBLICATIONS IN,0.6,Q4
1525-755X,JOURNAL OF HYDROMETEOROLOGY,AMER METEOROLOGIC,2.9,Q2
1525-7770,NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,TAYLOR & FRANCIS INC,1.3,Q4
1525-7797,BIOMACROMOLECULES,AMER CHEMICAL SOC,5.4,Q1
1525-7886,JOURNAL OF COSMETIC SCIENCE,SOC COSMETIC CHEMIS,0.3,Q4
1525-822X,Field Methods,SAGE PUBLICATIONS IN,1.4,Q2
1525-9951,EVENT MANAGEMENT,COGNIZANT COMMUN,1.5,Q3
1526-0542,Paediatric Respiratory Reviews,ELSEVIER SCI LTD,4,Q1
1526-1492,CMES-COMPUTER MODELING IN ENGINEERING,TECH SCIENCE PRESS,2.5,Q1
1526-2375,PAIN MEDICINE,OXFORD UNIV PRESS,3,Q1
1526-3800,Global Environmental Politics,MIT PRESS,4,Q1
1526-3819,Grey Room,MIT PRESS,0.4,
1526-484X,INTERNATIONAL JOURNAL OF SPORT NUTRITIO,HUMAN KINETICS PUBL,2.6,Q2
1526-498X,PEST MANAGEMENT SCIENCE,JOHN WILEY & SONS LT,3.8,Q1
1526-5161,AMERICAN JOURNAL OF BIOETHICS,ROUTLEDGE JOURNALS,20.8,Q1
1526-5900,JOURNAL OF PAIN,CHURCHILL LIVINGSTO,4,Q1
1526-5943,Journal of Risk Finance,EMERALD GROUP PUBL,4.7,Q1
1526-6028,JOURNAL OF ENDOVASCULAR THERAPY,SAGE PUBLICATIONS IN,1.5,Q3
1526-6125,Journal of Manufacturing Processes,ELSEVIER SCI LTD,6.8,Q1
1526-6133,Journal of Electronic Commerce Research,CALIFORNIA STATE UNI,3.4,Q2
1526-7431,JOURNAL OF FAMILY COMMUNICATION,ROUTLEDGE JOURNALS,1.8,Q2
1526-8004,SEMINARS IN REPRODUCTIVE MEDICINE,THIEME MEDICAL PUBL,1.4,Q3
1526-8209,Clinical Breast Cancer,"CIG MEDIA GROUP, LP",2.5,Q3
1526-9248,Progress in Transplantation,SAGE PUBLICATIONS IN,1.1,Q3
1526-9523,JOURNAL OF MIDWIFERY & WOMENS HEALTH,WILEY,2.3,Q1
1526-954X,GENESIS,WILEY,2.5,Q2
1526-9914,Journal of Applied Clinical Medical Physics,WILEY,2.2,Q2
1527-0025,Journal of Sports Economics,SAGE PUBLICATIONS IN,1.5,Q2
1527-0297,HIGH ALTITUDE MEDICINE & BIOLOGY,"MARY ANN LIEBERT, IN",1.4,Q3
1527-0904,WESTERN NORTH AMERICAN NATURALIST,BRIGHAM YOUNG UNIV,0.5,Q4
1527-1404,JOURNAL OF SEDIMENTARY RESEARCH,SEPM-SOC SEDIMENTA,2.1,Q1
1527-1544,Policy Politics & Nursing Practice,SAGE PUBLICATIONS IN,2.6,Q1
1527-2737,Current Urology Reports,SPRINGER,2.9,Q2
1527-3741,JOURNAL OF THE AMERICAN POMOLOGICAL S,AMER POMOLOGICAL S,0.3,Q4
1527-4160,Journal of Psychiatric Practice,LIPPINCOTT WILLIAMS,1,Q4
1527-4764,Television & New Media,SAGE PUBLICATIONS IN,1.9,Q2
1527-5256,Journal of Symplectic Geometry,"INT PRESS BOSTON, IN",0.4,Q4
1527-5922,ENVIRONMENTAL FORENSICS,TAYLOR & FRANCIS LTD,1.2,Q4
1527-6465,LIVER TRANSPLANTATION,LIPPINCOTT WILLIAMS,3.9,Q1
1527-6546,JOURNAL OF NURSING SCHOLARSHIP,WILEY,2.9,Q1
1527-6988,Natural Hazards Review,ASCE-AMER SOC CIVIL,2.2,Q2
1527-7941,Advances in Skin & Wound Care,LIPPINCOTT WILLIAMS,1.4,Q3
1527-8204,Annual Review of Genomics and Human Genet,ANNUAL REVIEWS,7.9,Q1
1527-8999,CHEMICAL RECORD,WILEY-V C H VERLAG G,7.5,Q1
1528-008X,Journal of Quality Assurance in Hospitality & To,ROUTLEDGE JOURNALS,2.3,Q2
1528-0470,GULF AND CARIBBEAN RESEARCH,UNIV SOUTHERN MISSI,1.4,Q3
1528-0748,Romani Studies,LIVERPOOL UNIV PRESS,0.4,Q4
1528-0837,Journal of Industrial Textiles,SAGE PUBLICATIONS IN,2,Q2
1528-3488,Identity-An International Journal of Theory and,ROUTLEDGE JOURNALS,1.9,Q3
1528-3542,EMOTION,AMER PSYCHOLOGICAL,3.6,Q1
1528-3577,International Studies Perspectives,OXFORD UNIV PRESS,1.5,Q2
1528-4042,Current Neurology and Neuroscience Reports,SPRINGER,5.2,Q1
1528-4050,Current Opinion in Allergy and Clinical Immuno,LIPPINCOTT WILLIAMS,2.6,Q2
1528-7092,SOUTHEASTERN NATURALIST,EAGLE HILL INST,0.4,Q4
1528-7394,JOURNAL OF TOXICOLOGY AND ENVIRONMEN,TAYLOR & FRANCIS INC,1.9,Q3
1528-7483,CRYSTAL GROWTH & DESIGN,AMER CHEMICAL SOC,3.4,Q1
1528-9117,CANCER JOURNAL,LIPPINCOTT WILLIAMS,2.2,Q3
1529-1006,Psychological Science in the Public Interest,SAGE PUBLICATIONS LT,17.6,Q1
1529-2908,NATURE IMMUNOLOGY,NATURE PORTFOLIO,27.6,Q1
1529-3181,Communications of the Association for Inform,ASSOC INFORMATION,2.2,Q3
1529-3785,ACM Transactions on Computational Logic,ASSOC COMPUTING M,0.9,Q1
1529-5036,CRITICAL STUDIES IN MEDIA COMMUNICATION,ROUTLEDGE JOURNALS,1.5,Q2
1529-5192,Parenting-Science and Practice,ROUTLEDGE JOURNALS,3.2,Q1
1529-7322,CURRENT ALLERGY AND ASTHMA REPORTS,CURRENT MEDICINE GR,4.6,Q2
1529-7373,Annals of Economics and Finance,WUHAN UNIV JOURNA,0.5,Q4
1529-7489,Analyses of Social Issues and Public Policy,WILEY,1.8,Q2
1529-7535,Pediatric Critical Care Medicine,LIPPINCOTT WILLIAMS,4.5,Q1
1529-8094,International Journal of Education and the Arts,ARIZONA STATE UNIV,0.9,Q3
1529-8868,Self and Identity,ROUTLEDGE JOURNALS,2.1,Q3
1529-9104,Early Medieval China,ROUTLEDGE JOURNALS,0.3,
1529-9430,Spine Journal,ELSEVIER SCIENCE INC,4.7,Q1
1529-9716,Journal of Bisexuality,ROUTLEDGE JOURNALS,1.9,Q1
1529-9732,Journal of Trauma & Dissociation,ROUTLEDGE JOURNALS,2.4,Q2
1530-261X,Atmospheric Science Letters,WILEY,2.2,Q3
1530-3667,VECTOR-BORNE AND ZOONOTIC DISEASES,"MARY ANN LIEBERT, IN",2.1,Q2
1530-437X,IEEE SENSORS JOURNAL,IEEE-INST ELECTRICAL E,4.5,Q1
1530-4388,IEEE TRANSACTIONS ON DEVICE AND MATERIA,IEEE-INST ELECTRICAL E,2.3,Q3
1530-4515,SURGICAL LAPAROSCOPY ENDOSCOPY & PERC,LIPPINCOTT WILLIAMS,1.2,Q3
1530-5058,International Journal of Testing,ROUTLEDGE JOURNALS,1.4,Q2
1530-5627,Telemedicine and e-Health,"MARY ANN LIEBERT, IN",2,Q3
1530-6550,Reviews in Cardiovascular Medicine,IMR PRESS,1.3,Q3
1530-6984,NANO LETTERS,AMER CHEMICAL SOC,9.1,Q1
1530-7026,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROS,SPRINGER,2.7,Q2
1530-7085,Pain Practice,WILEY,2.7,Q2
1530-7638,Journal of Integer Sequences,UNIV WATERLOO,0.4,Q4
1530-7905,Cardiovascular Toxicology,HUMANA PRESS INC,3.7,Q1
1530-891X,Endocrine Practice,ELSEVIER INC,4.6,Q1
1530-9576,Public Performance & Management Review,ROUTLEDGE JOURNALS,2.8,Q2
1530-9827,JOURNAL OF COMPUTING AND INFORMATION,ASME,3.3,Q2
1530-9932,AAPS PHARMSCITECH,SPRINGER,4,Q1
1531-0043,Clinics in Colon and Rectal Surgery,THIEME MEDICAL PUBL,1.1,Q3
1531-023X,KRITIKA-EXPLORATIONS IN RUSSIAN AND EURA,SLAVICA PUBLISHERS,0.3,Q2
1531-0353,IRRIGATION AND DRAINAGE,WILEY,1.7,Q2
1531-0485,Journal for Early Modern Cultural Studies,UNIV PENNSYLVANIA P,0.1,Q4
1531-1074,ASTROBIOLOGY,"MARY ANN LIEBERT, IN",2.6,Q2
1531-1309,IEEE MICROWAVE AND WIRELESS COMPONEN,IEEE-INST ELECTRICAL E,3.3,Q2
1531-3204,Journal of Ethnic & Cultural Diversity in Social,ROUTLEDGE JOURNALS,1.2,Q2
1531-3220,Journal of Teaching in Travel & Tourism,ROUTLEDGE JOURNALS,2.2,Q1
1531-3433,Current Pain and Headache Reports,SPRINGER,3.5,Q2
1531-3492,DISCRETE AND CONTINUOUS DYNAMICAL SYST,AMER INST MATHEMA,1.3,Q2
1531-426X,LATIN AMERICAN POLITICS AND SOCIETY,CAMBRIDGE UNIV PRES,1.5,Q1
1531-6076,Journal of Insurance Issues,WESTERN RISK & INSU,0.4,Q4
1531-636X,IEEE Circuits and Systems Magazine,IEEE-INST ELECTRICAL E,3.5,Q2
1531-7129,OTOLOGY & NEUROTOLOGY,LIPPINCOTT WILLIAMS,2,Q2
1531-7331,Annual Review of Materials Research,ANNUAL REVIEWS,10.4,Q1
1532-0073,Homology Homotopy and Applications,"INT PRESS BOSTON, IN",0.5,Q3
1532-0383,SOIL & SEDIMENT CONTAMINATION,TAYLOR & FRANCIS INC,1.5,Q4
1532-0456,COMPARATIVE BIOCHEMISTRY AND PHYSIOLO,ELSEVIER SCIENCE INC,4.3,Q1
1532-0464,JOURNAL OF BIOMEDICAL INFORMATICS,ACADEMIC PRESS INC E,4.5,Q2
1532-0626,CONCURRENCY AND COMPUTATION-PRACTICE,WILEY,1.5,Q3
1532-0820,COMPARATIVE MEDICINE,AMER ASSOC LABORAT,1.1,Q3
1532-3005,STRESS AND HEALTH,WILEY,2.7,Q2
1532-3382,Journal of Evidence-Based Dental Practice,ELSEVIER INC,4,Q1
1532-3641,International Journal of Geomechanics,ASCE-AMER SOC CIVIL,3.3,Q2
1532-3978,Moving Image,UNIV MINNESOTA PRE,0.1,
1532-4400,State Politics & Policy Quarterly,CAMBRIDGE UNIV PRES,1.4,Q2
1532-4435,JOURNAL OF MACHINE LEARNING RESEARCH,MICROTOME PUBL,5.2,Q1
1532-4982,ARID LAND RESEARCH AND MANAGEMENT,TAYLOR & FRANCIS INC,1.6,Q4
1532-5008,ELECTRIC POWER COMPONENTS AND SYSTEM,TAYLOR & FRANCIS INC,1.5,Q3
1532-5024,JOURNAL OF LOSS & TRAUMA,TAYLOR & FRANCIS INC,2.1,Q3
1532-673X,AMERICAN POLITICS RESEARCH,SAGE PUBLICATIONS IN,1.8,Q2
1532-687X,CR-THE NEW CENTENNIAL REVIEW,MICHIGAN STATE UNIV,0.2,
1532-7086,Cultural Studies-Critical Methodologies,SAGE PUBLICATIONS IN,1.1,Q2
1532-9194,MIT SLOAN MANAGEMENT REVIEW,SLOAN MANAGEMENT,4,Q2
1533-0028,Clinical Colorectal Cancer,"CIG MEDIA GROUP, LP",3.2,Q2
1533-0346,TECHNOLOGY IN CANCER RESEARCH & TREAT,SAGE PUBLICATIONS IN,2.8,Q2
1533-1296,Election Law Journal,"MARY ANN LIEBERT, IN",1.5,Q1
1533-1458,Journal of Infusion Nursing,LIPPINCOTT WILLIAMS,1.2,Q3
1533-1709,Spiritus-A Journal of Christian Spirituality,JOHNS HOPKINS UNIV,0.1,
1533-2640,JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,ROUTLEDGE JOURNALS,1.2,Q4
1533-2861,Journal of Internet Commerce,ROUTLEDGE JOURNALS,4.3,Q2
1533-2969,Services Marketing Quarterly,TAYLOR & FRANCIS LTD,1.6,Q3
1533-2985,Social Work in Mental Health,ROUTLEDGE JOURNALS,0.9,Q3
1533-3159,Pain Physician,AM SOC INTERVENTIO,2.5,Q2
1533-3175,American Journal of Alzheimers Disease and Ot,SAGE PUBLICATIONS IN,2.7,Q2
1533-5399,ACM Transactions on Internet Technology,ASSOC COMPUTING M,4.1,Q1
1533-6077,Philosophical Issues,WILEY,1,
1533-628X,Philosophers Imprint,UNIV MICHIGAN LIBRA,1.9,
1533-7731,AMERICAN INDIAN AND ALASKA NATIVE MENT,UNIV PRESS COLORADO,1.2,Q3
1534-0392,COMMUNICATIONS ON PURE AND APPLIED AN,AMER INST MATHEMA,0.9,Q2
1534-4320,IEEE TRANSACTIONS ON NEURAL SYSTEMS AN,IEEE-INST ELECTRICAL E,5.2,Q1
1534-4827,Current Diabetes Reports,CURRENT MEDICINE GR,6.4,Q1
1534-4843,Human Resource Development Review,SAGE PUBLICATIONS IN,4.6,Q2
1534-5807,DEVELOPMENTAL CELL,CELL PRESS,8.7,Q1
1534-7346,International Journal of Lower Extremity Woun,SAGE PUBLICATIONS IN,1.5,Q3
1534-7354,INTEGRATIVE CANCER THERAPIES,SAGE PUBLICATIONS IN,2.8,Q2
1534-7362,JOURNAL OF VISION,ASSOC RESEARCH VISIO,2.3,Q2
1534-8423,Journal of Media and Religion,ROUTLEDGE JOURNALS,0.9,
1534-8431,JOURNAL OF LATINOS AND EDUCATION,ROUTLEDGE JOURNALS,1.1,Q3
1534-8458,Journal of Language Identity and Education,ROUTLEDGE JOURNALS,1.8,Q1
1534-8644,Clinical Reviews in Bone and Mineral Metabolis,SPRINGER,2,Q3
1535-0118,Journal of Public Procurement,EMERALD GROUP PUBL,2.3,Q2
1535-0770,Journal of Intergenerational Relationships,ROUTLEDGE JOURNALS,1,Q4
1535-1084,NEUROMOLECULAR MEDICINE,HUMANA PRESS INC,3.9,Q2
1535-1459,RIVER RESEARCH AND APPLICATIONS,WILEY,1.9,Q3
1535-2188,Seminars in Plastic Surgery,THIEME MEDICAL PUBL,1.2,Q3
1535-3141,Foodborne Pathogens and Disease,"MARY ANN LIEBERT, IN",1.9,Q3
1535-3516,Asian Economic Papers,MIT PRESS,1.1,Q3
1535-3702,EXPERIMENTAL BIOLOGY AND MEDICINE,FRONTIERS MEDIA SA,2.7,Q3
1535-3893,JOURNAL OF PROTEOME RESEARCH,AMER CHEMICAL SOC,3.6,Q2
1535-3958,Corporate Social Responsibility and Environme,WILEY,9.1,Q1
1535-6108,CANCER CELL,CELL PRESS,44.5,Q1
1535-6841,City & Community,SAGE PUBLICATIONS IN,3,Q1
1535-685X,Law & Literature,ROUTLEDGE JOURNALS,0.5,
1535-7163,MOLECULAR CANCER THERAPEUTICS,AMER ASSOC CANCER,5.5,Q1
1535-7414,Alcohol Research-Current Reviews,NATL INST ALCOHOL A,9,Q1
1535-7597,Epilepsy Currents,SAGE PUBLICATIONS IN,6.3,Q1
1536-0040,SIAM JOURNAL ON APPLIED DYNAMICAL SYSTE,SIAM PUBLICATIONS,1.8,Q1
1536-0288,JOURNAL OF PAIN & PALLIATIVE CARE PHARM,TAYLOR & FRANCIS INC,1,Q3
1536-0644,Techniques in Foot and Ankle Surgery,LIPPINCOTT WILLIAMS,0.1,Q4
1536-0903,Advances in Neonatal Care,LIPPINCOTT WILLIAMS,1.6,Q2
1536-1055,FUSION SCIENCE AND TECHNOLOGY,TAYLOR & FRANCIS INC,1.2,Q3
1536-1225,IEEE Antennas and Wireless Propagation Letter,IEEE-INST ELECTRICAL E,4.8,Q1
1536-1233,IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE COMPUTER SOC,9.2,Q1
1536-1241,IEEE TRANSACTIONS ON NANOBIOSCIENCE,IEEE-INST ELECTRICAL E,4.4,Q1
1536-125X,IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE-INST ELECTRICAL E,2.5,Q2
1536-1268,IEEE PERVASIVE COMPUTING,IEEE COMPUTER SOC,1.8,Q3
1536-1276,IEEE TRANSACTIONS ON WIRELESS COMMUNI,IEEE-INST ELECTRICAL E,10.7,Q1
1536-1284,IEEE WIRELESS COMMUNICATIONS,IEEE-INST ELECTRICAL E,11.5,Q1
1536-1365,ADVANCED NONLINEAR STUDIES,DE GRUYTER POLAND S,2,Q1
1536-1632,MOLECULAR IMAGING AND BIOLOGY,SPRINGER,2.5,Q2
1536-2310,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,"MARY ANN LIEBERT, IN",1.6,Q3
1536-3155,Black Camera,INDIANA UNIV PRESS,0.2,
1536-3759,Christian Higher Education,TAYLOR & FRANCIS LTD,0.5,Q4
1536-383X,FULLERENES NANOTUBES AND CARBON NANO,TAYLOR & FRANCIS INC,1.8,Q3
1536-5026,Nursing Education Perspectives,LIPPINCOTT WILLIAMS,1.4,Q2
1536-5050,JOURNAL OF THE MEDICAL LIBRARY ASSOCIATI,MEDICAL LIBRARY ASS,5.1,Q1
1536-5433,Management Research-The Journal of the Iber,EMERALD GROUP PUBL,1.3,Q4
1536-5581,Conflict Resolution Quarterly,"WILEY PERIODICALS, IN",1.1,Q2
1536-6006,Journal of Historical Research in Music Educati,SAGE PUBLICATIONS IN,0.5,
1536-6367,Measurement-Interdisciplinary Research and P,ROUTLEDGE JOURNALS,1,Q2
1536-8378,ELECTROMAGNETIC BIOLOGY AND MEDICINE,TAYLOR & FRANCIS INC,1.5,Q3
1536-867X,Stata Journal,SAGE PUBLICATIONS IN,2.4,Q1
1536-9323,Journal of the Association for Information Syst,ASSOC INFORMATION,5.5,Q1
1537-1891,VASCULAR PHARMACOLOGY,ELSEVIER SCIENCE INC,3.5,Q2
1537-1964,Panacea-Boletin de Medicina y Traduccion,TREMEDICA,0.2,Q4
1537-209X,JOURNAL OF SWINE HEALTH AND PRODUCTIO,AMER ASSOC SWINE VE,0.6,Q3
1537-260X,Academy of Management Learning & Educatio,ACAD MANAGEMENT,5.2,Q1
1537-4416,JOURNAL OF CLINICAL CHILD AND ADOLESCEN,ROUTLEDGE JOURNALS,4.4,Q1
1537-5110,BIOSYSTEMS ENGINEERING,ACADEMIC PRESS INC E,5.3,Q1
1537-5927,Perspectives on Politics,CAMBRIDGE UNIV PRES,4.5,Q1
1537-6494,MECHANICS OF ADVANCED MATERIALS AND S,TAYLOR & FRANCIS INC,,
1537-6516,TOXICOLOGY MECHANISMS AND METHODS,TAYLOR & FRANCIS LTD,2.7,Q3
1537-7814,Journal of the Gilded Age and Progressive Era,CAMBRIDGE UNIV PRES,0.3,Q2
1537-7903,Journal of Applied School Psychology,ROUTLEDGE JOURNALS,1.5,Q3
1537-7938,Journal of Ethnicity in Criminal Justice,ROUTLEDGE JOURNALS,1,Q3
1537-890X,Current Sports Medicine Reports,LIPPINCOTT WILLIAMS,1.4,Q3
1538-1501,Journal of HIV-AIDS & Social Services,ROUTLEDGE JOURNALS,0.3,Q4
1538-2931,CIN-COMPUTERS INFORMATICS NURSING,LIPPINCOTT WILLIAMS,1.9,Q2
1538-4047,CANCER BIOLOGY & THERAPY,TAYLOR & FRANCIS INC,4.6,Q1
1538-4101,CELL CYCLE,TAYLOR & FRANCIS INC,3.4,Q3
1538-4721,Brachytherapy,ELSEVIER SCIENCE INC,1.8,Q3
1538-5132,Journal of Planning History,SAGE PUBLICATIONS IN,0.4,Q4
1538-5442,Current Problems in Pediatric and Adolescent H,ELSEVIER SCIENCE INC,3.7,Q1
1538-6341,PERSPECTIVES ON SEXUAL AND REPRODUCTIV,WILEY,3.5,Q1
1538-6473,Criminology & Public Policy,WILEY,4.1,Q1
1538-7216,EURASIAN GEOGRAPHY AND ECONOMICS,ROUTLEDGE JOURNALS,2.2,Q1
1538-7933,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,ELSEVIER SCIENCE INC,5,Q1
1538-8220,Journal of School Violence,ROUTLEDGE JOURNALS,2,Q1
1538-8506,Journal of Knee Surgery,GEORG THIEME VERLA,1.6,Q3
1538-9588,Traffic Injury Prevention,TAYLOR & FRANCIS INC,1.9,Q3
1539-0136,Journal for Specialists in Pediatric Nursing,WILEY,1.6,Q2
1539-1523,Journal of Research on Technology in Educatio,ROUTLEDGE JOURNALS,5,Q1
1539-1590,Journal of Research Administration,SOC RESEARCH ADMIN,1.6,Q3
1539-1604,PHARMACEUTICAL STATISTICS,WILEY,1.4,Q2
1539-2791,NEUROINFORMATICS,HUMANA PRESS INC,3.1,Q2
1539-2937,Journal of Electronic Commerce in Organizatio,IGI GLOBAL,1.2,Q4
1539-3402,French Colonial History,MICHIGAN STATE UNIV,<0.1,Q4
1539-4182,Clinical Medicine & Research,MARSHFIELD CLINIC,1.4,Q2
1539-445X,SOFT MATERIALS,TAYLOR & FRANCIS INC,1.4,Q4
1539-4492,OTJR-Occupational Therapy Journal of Researc,SAGE PUBLICATIONS IN,1.5,Q2
1539-6509,Discovery Medicine,DISCOVERY MEDICINE,2.1,Q3
1539-6746,Communications in Mathematical Sciences,"INT PRESS BOSTON, IN",1.3,Q2
1539-6754,Chinese Public Administration Review,SAGE PUBLICATIONS IN,1,Q3
1539-6851,Lymphatic Research and Biology,"MARY ANN LIEBERT, IN",1.9,Q3
1539-7734,MECHANICS BASED DESIGN OF STRUCTURES A,TAYLOR & FRANCIS INC,2.9,Q2
1539-8250,Philosophia Africana,PENN STATE UNIV PRES,0.2,
1539-8412,Journal of Geriatric Physical Therapy,LIPPINCOTT WILLIAMS,1.8,Q2
1539-9087,ACM Transactions on Embedded Computing Sy,ASSOC COMPUTING M,2.6,Q2
1540-0085,Expressions maghrebines,FLORIDA STATE UNIV,0.1,
1540-1405,Journal of the National Comprehensive Cancer,HARBORSIDE PRESS,16.4,Q1
1540-1650,Chinese Journal of International Law,OXFORD UNIV PRESS,1.2,Q2
1540-1960,MIS Quarterly Executive,"INDIANA UNIV, OPER &",2.9,Q1
1540-2002,Behavioral Sleep Medicine,ROUTLEDGE JOURNALS,1.6,Q3
1540-3084,AMERICAN LITERARY REALISM,UNIV ILLINOIS PRESS,0.3,
1540-3459,MULTISCALE MODELING & SIMULATION,SIAM PUBLICATIONS,1.6,Q2
1540-4048,JOURNAL OF GERONTOLOGICAL SOCIAL WORK,ROUTLEDGE JOURNALS,1.5,Q2
1540-4153,Hispanic Health Care International,SAGE PUBLICATIONS IN,1.1,Q4
1540-4196,Metabolic Syndrome and Related Disorders,"MARY ANN LIEBERT, IN",1.7,Q3
1540-4595,Decision Sciences-Journal of Innovative Educat,WILEY,1,Q3
1540-496X,EMERGING MARKETS FINANCE AND TRADE,ROUTLEDGE JOURNALS,3.1,Q1
1540-5702,Popular Communication,ROUTLEDGE JOURNALS,1.8,Q2
1540-580X,Internet Journal of Allied Health Sciences and P,NOVA SOUTHEASTERN,0.3,Q4
1540-658X,ASSAY AND DRUG DEVELOPMENT TECHNOLOG,"MARY ANN LIEBERT, IN",1.7,Q3
1540-7063,INTEGRATIVE AND COMPARATIVE BIOLOGY,OXFORD UNIV PRESS IN,2.1,Q1
1540-7489,PROCEEDINGS OF THE COMBUSTION INSTITUT,ELSEVIER SCIENCE INC,5.2,Q1
1540-7969,RESEARCH AND PRACTICE FOR PERSONS WITH,SAGE PUBLICATIONS IN,3.7,Q1
1540-7977,IEEE Power & Energy Magazine,IEEE-INST ELECTRICAL E,2.2,Q3
1540-7993,IEEE SECURITY & PRIVACY,IEEE COMPUTER SOC,3,Q2
1540-9295,FRONTIERS IN ECOLOGY AND THE ENVIRONME,WILEY,7.6,Q1
1540-9589,Journal of Web Engineering,RIVER PUBLISHERS,1,Q3
1540-9996,JOURNAL OF WOMENS HEALTH,"MARY ANN LIEBERT, IN",1.9,Q1
1541-0161,SOUND AND VIBRATION,Acad Publ Pte Ltd - Sing,1,Q4
1541-132X,Review of Policy Research,WILEY,3.2,Q1
1541-1559,Psychological Services,EDUCATIONAL PUBLISH,1.8,Q3
1541-1672,IEEE INTELLIGENT SYSTEMS,IEEE COMPUTER SOC,6.1,Q1
1541-2016,APPLIED IMMUNOHISTOCHEMISTRY & MOLEC,LIPPINCOTT WILLIAMS,1.2,Q3
1541-2040,Youth Violence and Juvenile Justice,SAGE PUBLICATIONS IN,1.1,Q3
1541-2555,COPD-Journal of Chronic Obstructive Pulmonar,TAYLOR & FRANCIS INC,2.1,Q3
1541-3446,Journal of Transformative Education,SAGE PUBLICATIONS IN,1.2,Q2
1541-4337,COMPREHENSIVE REVIEWS IN FOOD SCIENCE A,WILEY,14.1,Q1
1541-4612,Nurse Leader,ELSEVIER SCIENCE INC,1.4,Q3
1541-5015,Interdisciplinary Journal of Problem-Based Lear,INDIANA UNIV PRESS,0.4,Q4
1541-5856,LIMNOLOGY AND OCEANOGRAPHY-METHODS,WILEY,1.9,Q2
1541-6577,Research and Theory for Nursing Practice,SPRINGER PUBLISHING,0.5,Q4
1541-6933,Neurocritical Care,HUMANA PRESS INC,3.6,Q1
1541-7786,MOLECULAR CANCER RESEARCH,AMER ASSOC CANCER,4.7,Q1
1541-7794,STRUCTURAL DESIGN OF TALL AND SPECIAL BU,WILEY,1.3,Q3
1542-0124,Ocular Surface,ELSEVIER,5.6,Q1
1542-0353,Journal of Map & Geography Libraries,ROUTLEDGE JOURNALS,0.3,Q4
1542-0973,INTERNATIONAL JOURNAL OF SATELLITE COM,WILEY,1.6,Q2
1542-166X,BIOPHARM INTERNATIONAL,ADVANSTAR COMMUN,0.2,Q4
1542-2119,SEPARATION AND PURIFICATION REVIEWS,TAYLOR & FRANCIS INC,5.6,Q1
1542-2321,Eye & Contact Lens-Science and Clinical Practic,LIPPINCOTT WILLIAMS,2.1,Q2
1542-3565,Clinical Gastroenterology and Hepatology,ELSEVIER SCIENCE INC,12,Q1
1542-4766,Journal of the European Economic Association,OXFORD UNIV PRESS,3.3,Q1
1542-6297,Journal of International Accounting Research,AMER ACCOUNTING AS,1,Q3
1542-6416,Clinical Proteomics,BMC,3.3,Q2
1542-7315,Nova et Vetera-English Edition,CATHOLIC UNIV AMER,0.2,
1542-7331,JOURNAL OF AMERICAN CULTURE,WILEY,0.2,
1542-7528,Journal of Crop Improvement,TAYLOR & FRANCIS INC,1.5,Q3
1542-7560,Journal of Behavioral Finance,ROUTLEDGE JOURNALS,1.2,Q3
1542-7609,Research in Human Development,ROUTLEDGE JOURNALS,1,Q4
1542-8052,Journal of Culinary Science & Technology,TAYLOR & FRANCIS INC,1,Q4
